Strain,Penicillin,Ampicillin,Ceftiofur,Enrofloxacin,Tetracycline,Doxycycline,Erythromycin,Tilmicosin,Gentamicin,Spectinomycin,Trimethoprim-Sulfa,Chloramphenicol,Florfenicol
SynStrain_001,5.726309343142862,4.419939260788769,0.32528416882380695,3.958001695363911,4.649134347878351,0.41011161217934516,0.7838853423079111,4.3334385462261045,0.24866678584142246,2.4743589542546798,10.905489881529459,3.0952995333437334,8.461131612095757
SynStrain_002,2.2091405494568797,1.5255829195870243,1.4463339085457936,4.57072718753046,6.303952323007952,10.770306189139717,1.1731922352993243,24.854388223519233,1.106207463546512,11.389746043335823,47.661548452542746,2.1521861659777537,0.6816438400137425
SynStrain_003,7.181676180595559,0.9847347135215817,1.6256833089454328,0.9801623258930254,13.798734219930887,65.57760795426482,8.338975838449995,9.840331847185984,2.7397469156347762,0.6196570683679973,0.33358707250616915,15.668825360056653,10.018254512757633
SynStrain_004,26.69682874114182,6.804025574431243,0.8159388187651585,3.851183662069004,13.206420040413276,12.79043838778092,6.790709297220168,2.138473389462882,2.9167526481922734,5.78963803031087,6.324644674151994,3.981391036740501,20.76890234113977
SynStrain_005,1.9131860434309904,12.762348130384337,2.1341563844419467,4.219044623779744,0.3442097558914673,0.2783001841008742,2.634379338412699,2.641840116403054,1.3838947308542175,1.2270508070881865,1.0243273428825725,4.51048187232902,5.053860237957207
SynStrain_006,1.9132331593957101,10.989279192382908,4.98322008365208,0.930971022764563,0.6658189049726385,1.3147530991498473,3.241353777062169,0.6042338138347715,6.919025240589687,0.8275305546257868,1.30906340612518,1.4654825161726892,45.38554756690656
SynStrain_007,29.044212072600462,0.7719571120546169,46.02933229304817,44.641403889546794,5.885860215055939,18.180811482966483,18.47645730724682,2.6438344220988954,0.5480270433494675,2.3151036507272065,1.1178521418781797,1.308119570864933,0.8515612933666941
SynStrain_008,8.59475465832033,1.7094666755471397,3.532008605749834,5.533106331182007,5.874840591898955,0.9403489977434183,1.1192322025077426,1.7629914286745927,2.1955460213423517,0.575300087148653,0.7437977261856351,1.4207184839595413,0.4202178318191969
SynStrain_009,1.3441857254028287,4.467795664706595,4.000124901807041,0.4552287469543035,5.885969861684056,5.289528662686172,6.175847201675423,4.410895987130635,3.255817667241534,1.1847431996891826,2.923502669985977,4.911985375635201,0.18860877678562601
SynStrain_010,6.133957060229663,11.743708973326843,2.431069116784276,7.277813057951861,879.2745882429593,8.688072257983158,2.0071403976411184,0.785962328885187,5.8805967866473985,0.4507615294379079,0.781589842108693,1.4455982919866242,25.63776519144842
SynStrain_011,1.3564533475990834,1.3247697135412295,0.15287161569472216,0.6300081612338745,6.400241768880857,0.6767890111062176,1.961046374168392,5.924046651424253,7.904421742511411,51.7843354646417,4.078320406844804,4.198226966581355,7.253966948460205
SynStrain_012,1.3517571918220304,2.0575409064595345,2.612295108445803,8.851853796484386,14.929639425740787,2.486091916126677,14.128093727146688,27.088475239104113,0.5031016017361369,2.8659369445425806,2.5209677001982294,61.13601878487117,2.5008307924130375
SynStrain_013,3.9076782799858325,0.5171085521657423,2.975301311101512,15.454394066565712,11.370276720484892,0.021027987087157616,9.375730824973848,2.3091044775535257,0.27221277537020483,0.9516211624532468,1.8994757550409038,10.041103867153863,4.136925749792209
SynStrain_014,0.1541359356354373,0.45189296236479765,109.38384048774243,0.7937208312137995,7.221674685862068,0.5847438084170028,9.20976610335783,4.9657660873552105,18.47678783859899,3.7470537559334143,0.6967382386510841,1.6668984794233976,0.5024628505942041
SynStrain_015,0.20446126211170076,9.196185086907155,2.036960106934532,11.531289813158628,1.6940059913660896,1.8610628940232752,19.26361745167873,7.653905095298798,4.4748418842289235,2.296779502619206,1.1443571109274988,16.47461783150741,106.55145024919891
SynStrain_016,1.1694911107770747,20.7876704236329,4.27302075332144,5.048905011673247,8.486306214007264,0.4182504877500209,2.8052867515020314,1.489096100881966,0.8845026186081105,1.9513971451203833,8.440882280415325,1.4738631405906006,3.2997007183902958
SynStrain_017,0.5949685806258384,2.439967739324779,2.580368828352946,9.328649348258633,0.8527935219547136,31.45685599020144,7.560440509470997,3.8043255527654427,27.84707581748397,6.829490340391593,5.762525200123398,0.12781302786393325,3.2030138410907645
SynStrain_018,4.355202026988514,12.24722458508215,0.47094354392445825,46.767544744359284,1.9055526850559965,0.3181564401727753,1.7067651693090748,2.77011435065668,3.2333280132047726,8.467722354060115,0.6272984422163099,0.5992182042140146,8.074007374934558
SynStrain_019,0.6962572232544268,4.676051408047167,15.093047718032384,1.8812149648304544,1.3125275139275558,1.4048538414749598,4.420485486942979,3.14720308164719,15.941818901343545,1.2266026548245887,3.1550314307418983,0.1642791964025241,5.5929889916759405
SynStrain_020,0.32678410613953757,1.0328483439608183,8.397210346046442,0.8775650050680751,3.073482271225823,3.30722961936216,2.2362165965059084,0.8525574553562314,3.008006966618998,1.1459942937827416,8.39033698758163,1.60436778240603,3.803136178256286
SynStrain_021,24.495101367667214,4.674365390891702,8.90442122785252,0.7158592966164168,87.5305477877298,23.615657220524817,3.1439939412729743,2.8200800226916387,59.80695074063224,1.799344540236699,0.2222154390133548,2.79442837524689,0.8305130113467832
SynStrain_022,1.9373780711973223,27.304590812925547,0.6948347842422397,0.7995426298848335,0.1651505513141821,0.31543796940683494,6.637501006160869,5.737350032210147,37.82655100773493,0.08604526817358986,6.141323597605861,33.60436497201246,5.513516019428039
SynStrain_023,3.0080508384700395,2.576059591536745,22.291188512336884,2.4214037545950977,7.609445355380262,15.560655237338691,0.7966570253650106,23.967899439057593,1.8711510519073644,0.2800501475943611,1.006082787049327,4.438831031768026,45.74290714921603
SynStrain_024,0.32074069715522024,28.41637273259462,0.33194811772553284,4.534559576101048,0.24193799448683392,2.760328216082885,62.71376202135195,11.460498839916978,11.673909872981234,21.121920789321905,6.397440592054007,1.9568757703986903,20.45301019043239
SynStrain_025,1.2013259597332344,0.05341745807863094,6.555377077287781,4.116635481343464,1.3392398827235317,0.6235895019236677,0.6010807030085872,68.70168228017835,7.156806946975119,32.054948481652644,0.8651185453319341,9.432001966951029,29.659424697954027
SynStrain_026,3.2103625817033765,9.326443538102815,72.65218307075787,9.400612752184617,13.921381496932398,5.436607317238886,0.43986697858248647,0.8598293459802555,21.17767024607639,1.8709492841891515,0.18135059161117173,0.09859813192846197,1.2626042908294468
SynStrain_027,0.4836032856418121,3.09742339306964,0.615202075131341,2.7718163790699872,2.9934304236661595,3.6641249318829097,15.443161905403368,10.059132768901163,0.6392976092393843,6.454873614177261,0.23661672125790484,3.8706476217506847,0.6160622715447279
SynStrain_028,4.7757308868032595,1.7358357093719523,1.162477386242846,24.053995498235405,0.5397672953207805,1.1048114470565655,8.9128498688726,3.578747964326484,7.607063244727746,4.3356660007161665,2.9215883386717874,8.639094644682979,2.250876328788682
SynStrain_029,1.1041126328077933,3.1194015259099883,3.1565417570020786,1.8276203219943759,0.9296421387883697,3.0183282770791777,6.932217347428128,72.58108856602134,13.298306951889751,275.4266121930376,4.013179229788927,0.2958569055715562,2.95526217206353
